locationLat,locationLon,roadSize,bedrooms,bathrooms,landArea,price,builtOn
27.7437703,85.3343252,26,3,4,1026.75,22000000,2019
27.7208558,85.2521799,15,4,4,1471.675,23000000,2016
27.7194096,85.315162,15,5,3,2121.9500000000003,55000000,2018
27.7126782,85.3287033,15,6,6,2772.225,76000000,2009
27.7126782,85.3287033,15,6,5,1369,38000000,2019
27.6990751,85.2814445,13,4,4,2053.5,32000000,2019
27.7437703,85.3343252,12,6,4,1026.75,32000000,2019
27.6837719,85.309353,12,6,6,1745.475,58000000,2017
27.7780872,85.36232349672666,12,6,3,1060.9750000000001,23500000,2013
27.7039253,85.3328212,20,8,7,1197.875,46500000,2013
27.7354147,85.3221364,13,6,4,1369,32000000,2000
27.775184,85.3612405,15,6,5,1369,32500000,2000
27.7780872,85.36232349672666,12,7,7,1197.875,48000000,2022
27.7354147,85.3221364,20,6,9,1197.875,25000000,2022
27.7279694,85.3457219,12,5,4,1369,42500000,2017
27.7780872,85.36232349672666,12,4,4,4107,67500000,2017
27.7686237,85.3305739,10,4,6,1369,54000000,2017
27.7780872,85.36232349672666,12,5,7,2053.5,95000000,2018
27.7354147,85.3221364,15,6,5,1369,32000000,2021
27.6890227,85.3204209,18,4,4,3422.5,69000000,2017
27.6561677,85.3060365,16,2,1,1437.45,28000000,2020
27.6503928,85.3207649,16,4,3,1129.425,23000000,2021
27.6564581,85.3251667,20,6,4,3080.25,45000000,2014
27.6837719,85.309353,10,6,6,5476,120000000,2020
27.6837719,85.309353,15,6,4,2395.75,75000000,2022
27.6499414,85.3325441,18,4,4,1437.45,100000000,2022
27.6728976,85.3135363,12,5,5,1369,36000000,2022
27.6499414,85.3325441,12,4,4,1026.75,30000000,2022
27.7354147,85.3221364,20,1,1,2738,120000000,2019
27.72047645,85.36504853184782,20,1,1,2395.75,60000000,2015
27.7780872,85.36232349672666,16,1,1,2053.5,45000000,2018
27.707529,85.282715,24,1,1,2738,55000000,2020
27.7126782,85.3287033,16,1,1,5133.75,90000000,2022
27.7437703,85.3343252,10,6,1,1540.125,32000000,2022
27.7126782,85.3287033,12,1,1,4107,95000000,2022
27.7535604,85.3402018,12,5,2,1403.225,34000000,2022
27.7126782,85.3287033,15,6,5,1369,38000000,2015
27.7780872,85.36232349672666,12,7,3,1882.375,45000000,2019
27.7350285,85.3145453,15,6,1,4449.25,80000000,2019
27.7279694,85.3457219,20,5,7,4791.5,105000000,2015
27.7535604,85.3402018,15,1,7,1369,32000000,2019
27.7780872,85.36232349672666,16,5,4,3080.25,105000000,2019
27.7780872,85.36232349672666,13,4,4,1711.25,55000000,2018
27.7780872,85.36232349672666,12,7,4,2669.5499999999997,70000000,2014
27.7780872,85.36232349672666,15,10,8,2395.75,57000000,2016
