"roadSize","beds","bathrooms","builtOn","landArea","price","location"
"13","6","3","2078 B..S","0.2.5.0 Anna","22000000","Kathmandu, Sitapaila, Towkhel"
"10","4","3","2074 B.S.","2.5 Anna","20000000","Kathmandu, Sitapaila"
"12","6","5","2077 B.S","4.5 Anna","27500000","Sitapaila,Civil Home"
"14","4","3","2078 B.S.","0.3.3.3",30000000,"Sitapaila , Banglamukhi Mandir"
"13","8","3","2072 B..S","3 Anna","1","Kathmandu, Thankot"
"13","4","4","2015","9.25","73500000","loktantrik chowk,Manamaiju,Kathmandu"
"12","4","3","2077 B.S","3 Anna","16500000","Kathmandu, Thankot"
"10","4","7","2072 BS","4 anna","88000","Dhapakhel Height, Lalitpur"
"8","5","4","2074 B.S","5 Anna","3","Lalitpur, Godawari,Thecho"
"20","7","3","2079 B.S.","3.1 Anna",50000000,"Imadol,Naya Basti"
"20","4","3","2074 B.S","8.5 Anna",80000000,"Kathmanu,Kirtipur"
"20","5","4","2079 B.S","3 ANNA","27500000","Imadol , Naya Basti"
"13","5","4","2079 B.S","3.1 ANNA",100000000,"Lalitpur, Sheetal Height"
"13","5","4","2079 B.S","3.1 ANNA",100000000,"Lalitpur,Sheetal Height"
"13","6","4","2078 B.S.","0.3.3.3 ANNA",950000000,"Lalitpur,Imadol,Tempo Park"
"13","6","7","2079 B.S","7.5 Aana","70000000","Kathmandu, Sitapaila"
"10","5","3","2071 B.S","4 Anna","22000000","Kathmandu,Sitapaila"
"13","4","3","2079 B.S","4 Anna",250000000,"Kathmandu, Balambu"
"12","6","3","2070 B.S","0-3-3-2 Anna","25000000","Kathmandu,Rai Chowk"
"13","5","5","2079 B.S.","0.3.2.2","2","Sitapaila,Thapa Chowk"
"14","5","3","2079 B.S.","3.5 Aana","2","Chandragiri,Balambu"
"13","5","5","2079 B.S.","4.5 Anna","3","Chandragiri,Tinthana"
"20","6","4","2079 B.S.","5 Aana","4","Kathmandu,Sanobharyang"
"13","4","4","2079 B.S.","0.3.3.0 Aana","2","Kathmandu,Sitapaila,Towkhel"
"16","5","5","2074 B.S","5 Anna","85000","Kathmandu, Sitapaila"
"20","4","4","2075 B.S.","8.5 Anna","110000","Kathmandu,Sitapaila"
,,,,,,"Kathmandu,Basantapur,Ektha"
"20","4","4","2023 AD","7.5 Ana",60300000,"Hepali Height - 7, Budhanilkantha"
"16","6","4","2080 B.S.","0.3.2.1 Aana","3","Imadol,Thasi Marg"
"13","6","4","2080 B.S.","3 Anna","2","Lalitpur,Imadol, Bojho Pokhari"
"14","5","3","2080 B.S","3 aana","25000000","LASUNTAR,KAPAN,KATHMANDU"
"13","5","3","2079 B.S.","3.2 Anna","2","Lalitpur,Tikathali"
"13","4","3","2080 B.S","3.3 Anna","2","Lalitpur,Tikathali"
"13","7","6","2080 B.S","4.1 Anna","4","Imadol,Tempo"
"13","5","4","2080 B.S.","3.3 Anna","3","Imadol,Tempo Park"
"10","6","3","2080 B..S","3 Anna","2","Imadol,Bhojho pokhari"
"13","6","4","2080 B.S","3.2.1.0","2","Lalitpur,Tikathali"
"13","5","5","2080 B..S","4.1 Anna","3","Lalitpur,Tikathali"
"20","7","6","2080 B..S","4.3.1.0 Anna","4","Imadol,Downtown"
"20","6","5","2080 B.S","4.1.3.0","4","Imadol,Downtown"
"20","6","5","2080 B.S","4.5 Anna","4","Imadol,Downtown"
"11","4","4","2080 B.S.","5 Aana","4","Kathmandu,Bafal"
"13","5","4","2068 B.S.","4 Aana","2","Kathmandu,Sitapaila"
"12","5","3","2069 B.S","4 Anna",850000000,"Kathmandu, chauni"
"12","5","4","2080 B.S","3 Anna","2","Sitapaila,Mahankal"
"12","5","3","2080 B.S","3 Anna","3","Kathmandu,Thulobharayang"
"20","6","5","2076 B.S","6 Anna","4","Sanobharayang,Yellow Gumba"
"13","5","4","2080 B.S","0.3.1.2 Anna","2","Imadol,Bojho Pokhari"
"13","5","3","2080 B.S","3.1.1Anna","2","Imadol,Bojho Pokhari"
"13","6","3","2080 B.S","0.3.0.1 Anna","2","Imadol,Bojho Pokhari"
"13","4","3","2080 B.S","3 Anna","2","Imadol,Bojho Pokhari"
"13","6","3","2080 B.S","3.3 Anna","2","Imadol,Bojho Pokhari"
"20","6","5","2077 B..S","6 Anna","4","Kathmandu, Sano bharayang"
"12","5","4","2074 B.S","4.1Anna","2","Sitapaila,Saranpur"
"13","4","3","2079 B.S.","4 Anna","2","Lalitpur,Tikathali"
"16","5","4","2065 B.S","29 Anna",50000000,"Kathmandu, Sitapaila"
"14","3",,,"3 Anna",250000000,"Kathmandu,Gurjudhara"
"26","12","4","2080 B.S","6 Anna","55000000","Kathmandu,Sano Bharayang"
"20","6","4","2075 B.S.","7 Aana",500000000,"Kathmandu, Thulo Bharayang,"
"10","12","9","2065 B.S","7 Anna","4","Kathmandu, Sano bharayang"
"20","4","4","2074 B.S","0.3.3.2","3","Kathmandu, Nagarjung, Ramkot"
"13","7","4","2079 B.S.","0.3.2.1 Aana",40000000,"Kathmandu, Kirtipur, Machhegaun"
"14","3","2","2074 B.s","4 Aana",900000000,"Kathmandu, Sitapaila"
"13","5","3","2080 B.S.","3.2 Aana","2","Kathmandu, Nagarjung, Ramkot"
"13","5","3","2079 B.S.","0.3.1.2 Aana","2","Kalanki,Near Arcade"
"13","6","6","2080 B.S.","0.4.1.0 Aana","3","Sitapaila,Syuchatar"
