location,roadSize,bedrooms,bathrooms,landarea,price,builtOn
"SuryaDarshan, Kathmandu",11 Feet,6,4,5.0 Anna,Rs. 3.5 Cr,2075 B.S
"Kathmandu, Budhanilkantha",13 Feet,9,4,5.0 Anna,Rs. 2.75 Cr,2070 B.S
"Bojepokhari, Lalitpur",13 Feet,7,3,3.0 Anna,Rs. 2.25 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,7,6,3.0 Anna,Rs. 2.5 Cr,2076 B.S
"Sgaun, Lalitpur",15 Feet,6,6,5.3 Anna,Rs. 2.8 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,5,3,2.2 Anna,Rs. 2.6 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.0 Anna,Rs. 2.8 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.7 Cr,2072 B.S
"Old Baneshwor, Kathmandu",6 Feet,22,8,3.2 Anna,Rs. 2.9 Cr,2072 B.S
"Imadol, Lalitpur",16 Feet,5,5,3.3 Anna,Rs. 3.25 Cr,2075 B.S
"Harisiddhi, Lalitpur",20 Feet,3,4,3.0 Anna,Rs. 2.7 Cr,2068 B.S
"Deuba Chowk, Kathmandu",14 Feet,4,5,7.0 Anna,Rs. 6.5 Cr,2065 B.S
"Imadol, Lalitpur",13 Feet,7,4,3.0 Anna,Rs. 2.75 Cr,2076 B.S
"Thamel, Kathmandu",10 Feet,5,4,2.3 Anna,Rs. 2.3 Cr,2076 B.S
"Budhanilkantha, Kathmandu",13 Feet,4,4,5.2 Anna,Rs. 5.75 Cr,2076 B.S
"Sitapaila, Kathmandu",13 Feet,4,4,4.0 Anna,Rs. 5 Cr,2068 B.S
"Baneshwor, Kathmandu",14 Feet,5,5,3.0 Anna,Rs. 1.75 Cr,2079 B.S
"Narayanthan , Kathmandu",10 Feet,7,4,5.0 Anna,Rs. 5.5 Cr,2079 B.S
"Hepali Height, Kathmandu",13 Feet,6,6,4.3 Anna,Rs. 4.65 Cr,2075 B.S
"Sanepa, Lalitpur",13 Feet,3,2,2.5 Anna,Rs. 3.5 Cr,2079 B.S
"Old Baneshwor, Kathmandu",6 Feet,22,8,3.2 Anna,Rs. 2.8 Cr,2060 B.S
"Baluwatar, Kathmandu",10 Feet,8,10,6.0 Anna,Rs. 7.6 Cr,2076 B.S
"Mmaiju, Kathmandu",13 Feet,4,3,9.1 Anna,Rs. 7.35 Cr,2070 B.S
"Greenhill City, Kathmandu",13 Feet,5,3,3.0 Anna,Rs. 2.3 Cr,2069 B.S
"Budhanilkantha, Kathmandu",14 Feet,6,6,6.0 Anna,Rs. 3.9 Cr,2060 B.S
"Sainbu, Lalitpur",18 Feet,7,4,4.0 Anna,Rs. 3.5 Cr,2075 B.S
"Thali, Kathmandu",12 Feet,5,3,2.2 Anna,Rs. 1.6 Cr,2060 B.S
"Balkot, Bhaktapur",13 Feet,5,5,3.3 Anna,Rs. 2.8 Cr,2072 B.S
"Budhanilkantha, Kathmandu",16 Feet,10,4,4.0 Anna,Rs. 4 Cr,2076 B.S
"Budhanilkantha, Kathmandu",20 Feet,4,3,3.2 Anna,Rs. 2.25 Cr,2070 B.S
"Bhaisepati, Lalitpur",15 Feet,4,3,4.0 Anna,Rs. 2.9 Cr,2076 B.S
"Yogikuti, Rupandehi",10 Feet,2,1,0.5 kattha,Rs. 90 Lac,2060 B.S
"Jyotinagar, Kathmandu",20 Feet,4,2,3.0 Anna,Rs. 2.65 Cr,2075 B.S
"Bagdurbar, Kathmandu",13 Feet,6,6,4.0 Anna,Rs. 3 Cr,2060 B.S
"Pepsicola, Kathmandu",20 Feet,6,6,6.2 Anna,Rs. 5.55 Cr,2078 B.S
"Dillibazar, Kathmandu",15 Feet,28,7,14.0 Anna,Rs. 14 Cr,2058 B.S
"Bijulibazar, Kathmandu",12 Feet,8,6,6.0 Anna,Rs. 8.5 Cr,2070 B.S
"Sundar basti, Kathmandu",13 Feet,4,3,3.2 Anna,Rs. 3.38 Cr,2069 B.S
"Pepsicola, Kathmandu",13 Feet,5,5,5.0 Anna,Rs. 2.9 Cr,2075 B.S
"Harisiddhi, Lalitpur",13 Feet,5,3,3.2 Anna,Rs. 2.6 Cr,2075 B.S
"Ghattekulo, Kathmandu",18 Feet,6,3,3.2 Anna,Rs. 3.25 Cr,2060 B.S
"Bhangal , Kathmandu",13 Feet,7,6,5.1 Anna,Rs. 4.5 Cr,2066 B.S
"Nakhudole, Lalitpur",4 Feet,4,2,4.2 Anna,Rs. 1.55 Cr,2072 B.S
"Baluwakhani, Kathmandu",10 Feet,6,4,3.2 Anna,Rs. 2.75 Cr,2068 B.S
"Lele, Lalitpur",20 Feet,4,3,6.4 Anna,Rs. 7.3 Cr,2068 B.S
"Syuchatar, Kathmandu",16 Feet,4,3,5.0 Anna,Rs. 2.5 Cr,2065 B.S
"Kapan, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 3.2 Cr,2078 B.S
"Khusibu Town Planning, Kathmandu",26 Feet,4,3,4.0 Anna,Rs. 3.9 Cr,2065 B.S
"Imadol, Lalitpur",13 Feet,6,4,9.0 Anna,Rs. 6 Cr,2065 B.S
"Kirtipur, Kathmandu",20 Feet,2,1,1.2 Anna,Rs. 65 Lac,2050 B.S
"Nakhipot, Lalitpur",13 Feet,6,5,7.0 Anna,Rs. 4.6 Cr,2075 B.S
"Sitapaila, Kathmandu",12 Feet,8,7,8.2 Anna,Rs. 4.95 Cr,2068 B.S
"Budhanilkantha, Kathmandu",13 Feet,8,4,5.0 Anna,Rs. 2.8 Cr,2062 B.S
"Samakhusi, Kathmandu",24 Feet,10,6,6.0 Anna,Rs. 6 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,3,3,2.3 Anna,Rs. 2.15 Cr,2079 B.S
"Baluwakhani, Kathmandu",12 Feet,4,3,3.0 Anna,Rs. 2.15 Cr,2065 B.S
"Mahadevtar, Kathmandu",13 Feet,5,4,10.2 Anna,Rs. 6 Cr,2076 B.S
"Nakhipot, Lalitpur",13 Feet,7,4,4.2 Anna,Rs. 3.8 Cr,2076 B.S
"Balambu, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 27500000,2076 B.S
"Ganesh Chowk, Kathmandu",20 Feet,8,3,6.0 Anna,Rs. 5.8 Cr,2068 B.S
"Bhaisepati, Lalitpur",20 Feet,7,3,5.0 Anna,Rs. 4.25 Cr,2076 B.S
"Makalbari, Kathmandu",12 Feet,8,3,3.3 Anna,Rs. 2.75 Cr,2060 B.S
"Thaiba, Lalitpur",20 Feet,3,3,6.0 Anna,Rs. 5 Cr,2078 B.S
"Icimod, Lalitpur",13 Feet,6,4,4.3 Anna,Rs. 3.9 Cr,2075 B.S
"Imadol, Lalitpur",14 Feet,3,3,4.0 Anna,Rs. 4.25 Cr,2076 B.S
"Tahachal, Kathmandu",20 Feet,4,5,4.1 Anna,Rs. 5.65 Cr,2065 B.S
"Lasuntar, Kathmandu",13 Feet,4,3,4.1 Anna,Rs. 3.1 Cr,2076 B.S
"Imadol, Lalitpur",16 Feet,6,3,3.0 Anna,Rs. 2.25 Cr,2070 B.S
"Imadol, Lalitpur",16 Feet,4,3,7.0 Anna,Rs. 4.5 Cr,2073 B.S
"Imadol, Lalitpur",14 Feet,3,3,4.0 Anna,Rs. 4.25 Cr,2076 B.S
"Lubhu, Lalitpur",13 Feet,5,4,3.0 Anna,Rs. 2.2 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,4,3,4.2 Anna,Rs. 4.5 Cr,2068 B.S
"Thecho, Lalitpur",12 Feet,6,5,9.3 Anna,Rs. 8.5 Cr,2075 B.S
"Nakhipot, Lalitpur",13 Feet,4,3,2.5 Anna,Rs. 2 Cr,2076 B.S
"Naxal, Kathmandu",13 Feet,3,3,4.0 Anna,Rs. 5.5 Cr,2060 B.S
"Dhaksi, Kathmandu",20 Feet,7,7,12.0 Anna,Rs. 3.6 Cr,2075 B.S
"Bafal, Kathmandu",14 Feet,4,3,3.2 Anna,Rs. 3.7 Cr,2076 B.S
"Bsthali, Kathmandu",13 Feet,6,4,4.0 Anna,Rs. 3.4 Cr,2068 B.S
"Budhanilkantha, Kathmandu",12 Feet,4,3,9.0 Anna,Rs. 5.75 Cr,2075 B.S
"Chundevi, Kathmandu",15 Feet,5,5,6.0 Anna,Rs. 6.75 Cr,2076 B.S
"Chabahil, Kathmandu",16 Feet,3,2,12.0 Anna,Rs. 12 Cr,2060 B.S
"Thankot, Kathmandu",10 Feet,6,3,5.0 Anna,Rs. 2.2 Cr,2078 B.S
"Nakhipot, Lalitpur",13 Feet,5,5,2.3 Anna,Rs. 2.3 Cr,2076 B.S
"Danchhi, Kathmandu",10 Feet,2,1,3.1 Anna,Rs. 1.5 Cr,2060 B.S
"New Baneshwor, Kathmandu",20 Feet,3,3,1.1 Anna,Rs. 1.68 Cr,2049 B.S
"Kadaghari, Kathmandu",15 Feet,1,1,3.0 Anna,Rs. 1.73 Cr,2070 B.S
"Hattigaunda, Kathmandu",30 Feet,4,5,6.2 Anna,Rs. 7.7 Cr,2049 B.S
"Mahadevsthan, Kathmandu",10 Feet,6,3,5.0 Anna,Rs. 2.2 Cr,2074 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,3,3.8 Anna,Rs. 3.1 Cr,2075 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,5,4.0 Anna,Rs. 2.99 Cr,2076 B.S
"Bhaisepati, Lalitpur",16 Feet,7,5,13.0 Anna,Rs. 13.5 Cr,2060 B.S
"Gothatar, Kathmandu",10 Feet,5,3,3.0 Anna,Rs. 2.1 Cr,2078 B.S
"Dharmasthali, Kathmandu",13 Feet,2,1,4.2 Anna,Rs. 1.3 Cr,2076 B.S
"Dulal Gaun, Kathmandu",16 Feet,2,1,5.2 Anna,Rs. 1.85 Cr,2049 B.S
"Narayanthan , Kathmandu",20 Feet,2,1,4.0 Anna,Rs. 1.7 Cr,2049 B.S
"Kalanki, Kathmandu",10 Meter,1,1,3.0 Anna,Rs. 6 Cr,2070 B.S
"Dhalmal, Kathmandu",13 Feet,6,4,3.2 Anna,Rs. 2.65 Cr,2075 B.S
"Imadol, Lalitpur",13 Feet,5,4,4.0 Anna,Rs. 1.95 Cr,2076 B.S
"Sainbu, Lalitpur",17 Feet,5,4,7.3 Anna,Rs. 8.5 Cr,2076 B.S
"Saraswotinagar, Kathmandu",27 Feet,3,2,3.0 Anna,Rs. 2.3 Cr,2076 B.S
"Baneshwor, Kathmandu",20 Meter,5,3,16.0 Anna,Rs. 10.4 Cr,2060 B.S
"Thecho, Lalitpur",13 Feet,5,5,4.0 Anna,Rs. 3.25 Cr,2076 B.S
"Thecho, Lalitpur",10 Feet,4,3,4.0 Anna,Rs. 2.6 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,8,3,3.2 Anna,Rs. 2.95 Cr,2047 B.S
Lalitpur,13 Feet,4,3,2.3 Anna,Rs. 1.9 Cr,2078 B.S
"Baluwatar, Kathmandu",14 Feet,6,3,8.2 Anna,Rs. 6.8 Cr,2050 B.S
"Dhapasi, Kathmandu",15 Feet,4,2,2.2 Anna,Rs. 1.55 Cr,2077 B.S
"Tikathali, Lalitpur",13 Meter,6,5,3.0 Anna,Rs. 2.2 Cr,2078 B.S
"Gamcha, Bhaktapur",13-20 Feet,5,4,7.0 Anna,Rs. 4.3 Cr,2075 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,3.2 Anna,Rs. 3.45 Cr,2060 B.S
"Hattidanda, Kathmandu",13 Feet,6,3,3.2 Anna,Rs. 2.5 Cr,2066 B.S
"Sainbu, Lalitpur",14 Feet,5,3,5.1 Anna,Rs. 3.65 Cr,2072 B.S
"Golfutar, Kathmandu",13 Feet,5,5,7.0 Anna,Rs. 5.49 Cr,2077 B.S
"Dhapasi, Kathmandu",13 Feet,6,6,9.2 Anna,Rs. 7.5 Cr,2068 B.S
"Chhauni, Kathmandu",12 Feet,4,5,6.0 Anna,Rs. 3.70 Cr,2065 B.S
"Dhapakhel, Lalitpur",20 Feet,6,4,4.0 Anna,Rs. 3.8 Cr,2078 B.S
"Baneshwor, Kathmandu",26 Feet,5,4,7.0 Anna,Rs. 6.75 Cr,2065 B.S
"Lalitpur, Lalitpur",13 Feet,7,3,3.2 Anna,Rs. 3.1 Cr,2072 B.S
"Gatthaghar, Bhaktapur",13 Feet,5,4,5.2 Anna,Rs. 4 Cr,2050 B.S
"Hepali Height, Kathmandu",15 Feet,5,5,5.2 Anna,Rs. 5.5 Cr,2068 B.S
"Kapan, Kathmandu",13 Feet,6,6,4.3 Anna,Rs. 3.1 Cr,2050 B.S
"Thulo bharyang, Kathmandu",13 Feet,4,3,3.3 Anna,Rs. 2.2 Cr,2058 B.S
"Nakhipot, Lalitpur",20 Feet,6,4,3.2 Anna,Rs. 3.3 Cr,2068 B.S
"Nakhipot, Lalitpur",20 Feet,6,4,3.0 Anna,Rs. 2.9 Cr,2078 B.S
"Satdobato, Lalitpur",18 Feet,8,6,7.2 Anna,Rs. 5.25 Cr,2077 B.S
"Imadol, Lalitpur",16 Feet,6,3,3.4 Anna,Rs. 3.99 Cr,2077 B.S
"Hattiban, Lalitpur",20 Feet,5,5,7.0 Anna,Rs. 5.5 Cr,2077 B.S
"Imadol, Lalitpur",20 Feet,7,5,3.1 Anna,Rs. 2.75 Cr,2078 B.S
"Bhangal , Kathmandu",13 Feet,5,6,3.1 Anna,Rs. 3.2 Cr,2078 B.S
"Naya Basti, Kathmandu",20 Feet,5,4,5.0 Anna,Rs. 3.5 Cr,2075 B.S
"Bharatpur, Chitwan",12-18 Feet,6,2,2.8 Anna,Rs. 2 Cr,2078 B.S
"Sukedhara, Kathmandu",13 Feet,4,4,4.0 Anna,Rs. 3.85 Cr,2075 B.S
"Kapan, Kathmandu",13 Feet,6,4,3.0 Anna,Rs. 2.5 Cr,2075 B.S
"Kapan, Kathmandu",10-12 Feet,7,4,4.2 Anna,Rs. 2.8 Cr,2080 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,5,4.0 Anna,Rs. 3.45 Cr,2078 B.S
"Nagarjun, Kathmandu",10-12 Feet,4,6,3.2 Anna,Rs. 4 Cr,2078 B.S
"Mandikhatar, Kathmandu",20 Feet,6,3,5.0 Anna,Rs. 2.75 Cr,2077 B.S
"Grande Villa, Kathmandu",14 Feet,3,3,4.0 Anna,Rs. 3.25 Cr,2075 B.S
"Matatirtha, Kathmandu",12 Feet,2,2,3.0 Anna,Rs. 1.2 Cr,2078 B.S
"Grande Hospital, Kathmandu",10 Feet,3,1,3.2 Anna,Rs. 1.9 Cr,2074 B.S
"Bhaisepati, Lalitpur",10-15 Feet,4,3,17.0 Anna,Rs. 10 Cr,2080 B.S
"Budhanilkantha, Kathmandu",10-12 Feet,3,3,9.0 Anna,Rs. 5.5 Cr,2078 B.S
"Lambagar, Kathmandu",8 Feet,4,2,2.5 Anna,Rs. 1.6 Cr,2078 B.S
"Budhanilkantha, Kathmandu",13 Feet,3,3,3.3 Anna,Rs. 2.45 Cr,2076 B.S
"Satungal, Kathmandu",13 Feet,7,3,3.0 Anna,Rs. 2.1 Cr,2075 B.S
"Kapan, Kathmandu",12 Feet,6,3,3.2 Anna,Rs. 3.9 Cr,2076 B.S
"Bhaisepati, Lalitpur",14 Feet,5,5,3.8 Anna,Rs. 4.5 Cr,2078 B.S
"Kupandole, Lalitpur",16 Feet,4,3,10.0 Anna,Rs. 10 Cr,2074 B.S
"Ekatabasti, Kathmandu",13 Feet,6,4,3.0 Anna,Rs. 3.1 Cr,2077 B.S
"Handigaun, Kathmandu",14 Feet,7,6,16.0 Anna,Rs. 16 Cr,2077 B.S
"Sitapaila, Kathmandu",13 Feet,3,3,2.2 Anna,Rs. 2.35 Cr,2075 B.S
"Pokhara, Kaski",13 Feet,3,2,2.3 Anna,Rs. 2 Cr,2078 B.S
"Balkumari, Lalitpur",13 Feet,5,4,4.3 Anna,Rs. 4.7 Cr,2074 B.S
"Birendra Chowk, Kathmandu",13 Feet,5,4,4.2 Anna,Rs. 3.05 Cr,2080 B.S
"Dhaneshwor, Kathmandu",12 Feet,7,3,3.2 Anna,Rs. 2 Cr,2078 B.S
"Kaushaltar, Bhaktapur",12 Feet,4,4,3.0 Anna,Rs. 3 Cr,2078 B.S
"Imadol, Lalitpur",12-18 Feet,5,3,3.2 Anna,Rs. 2.8 Cr,2078 B.S
"Nakkhu, Lalitpur",13 Feet,4,5,4.1 Anna,Rs. 3.6 Cr,2077 B.S
"Lakeside, Kaski",15 Feet,10,8,8.2 Anna,Rs. 8.5 Cr,2075 B.S
"Budhanilkantha, Kathmandu",13 Feet,4,3,3.2 Anna,Rs. 2.85 Cr,2074 B.S
"Imadol, Lalitpur",12-16 Feet,2,3,3.1 Anna,Rs. 2.5 Cr,2075 B.S
"Gongabu, Kathmandu",20 Feet,8,6,4.0 Anna,Rs. 5.5 Cr,2074 B.S
"Tundaldevi, Kathmandu",20 Feet,4,4,9.0 Anna,Rs. 7.5 Cr,2074 B.S
"Pokhara, Kaski",15 Feet,7,5,5.0 Anna,Rs. 3.75 Cr,2078 B.S
"Gajuri, Dhading",32 Feet,5,2,3.0 Anna,Rs. 1.78 Cr,2077 B.S
"Gairi Gaun, Kathmandu",13 Feet,5,3,3.3 Anna,Rs. 2.2 Cr,2077 B.S
"Dhalmal, Kathmandu",12 Feet,5,3,3.1 Anna,Rs. 2.2 Cr,2078 B.S
"Kalanki, Kathmandu",13 Feet,19,19,3.0 Anna,Rs. 5.25 Cr,2074 B.S
"Sgaun, Lalitpur",16 Feet,6,4,4.0 Anna,Rs. 1.9 Cr,2068 B.S
"Gurjudhara, Kathmandu",26 Feet,8,6,4.0 Anna,Rs. 3 Cr,2070 B.S
"Bansbari, Kathmandu",13 Feet,3,1,5.0 Anna,Rs. 1 Cr,2079 B.S
"Hattiban, Lalitpur",14 Feet,4,2,3.0 Anna,Rs. 2 Cr,2079 B.S
"Aarubari, Kathmandu",12 Feet,5,3,4.0 Anna,Rs. 3.5 Cr,2078 B.S
"Imadol, Lalitpur",13 Feet,4,3,3.2 Anna,Rs. 2.4 Cr,2080 B.S
"Tokha, Kathmandu",13 Feet,6,3,3.0 Anna,Rs. 2.65 Cr,2074 B.S
"Imadol, Lalitpur",14 Feet,5,3,3.2 Anna,Rs. 2.7 Cr,2076 B.S
"Imadol, Lalitpur",12 Feet,5,4,3.5 Anna,Rs. 2.6 Cr,2077 B.S
"New Buspark, Kathmandu",20 Feet,34,34,7.0 Anna,Rs. 8.3 Cr,2070 B.S
"Bhangal , Kathmandu",20 Feet,5,4,5.0 Anna,Rs. 4 Cr,2075 B.S
"Matatirtha, Kathmandu",13 Feet,5,6,4.2 Anna,Rs. 2.9 Cr,2076 B.S
"Dharmasthali, Kathmandu",13 Feet,3,1,3.2 Anna,Rs. 1.3 Cr,2076 B.S
"Gongabu, Kathmandu",12 Feet,5,3,4.0 Anna,Rs. 3.5 Cr,2076 B.S
"Kapan, Kathmandu",13 Feet,5,1,4.1 Anna,Rs. 3.55 Cr,2076 B.S
"Dhapasi, Kathmandu",13 Feet,6,4,17.0 Anna,Rs. 11.5 Cr,2076 B.S
"Hattiban, Lalitpur",20 Feet,5,4,6.1 Anna,Rs. 5.5 Cr,2077 B.S
"Imadol, Lalitpur",13 Feet,4,1,5.0 Anna,Rs. 3.6 Cr,2074 B.S
"Dharmasthali, Kathmandu",13 Feet,2,1,4.2 Anna,Rs. 1.3 Cr,2079 B.S
"Goldhunga, Kathmandu",10 Feet,2,1,3.0 Anna,Rs. 1.2 Cr,2076 B.S
"Lubhu, Lalitpur",13 Feet,6,2,2.2 Anna,Rs. 1.7 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,5,3,3.1 Anna,Rs. 2.75 Cr,2076 B.S
"Hattiban, Lalitpur",16 Feet,7,5,8.0 Anna,Rs. 6.5 Cr,2076 B.S
"Bhaisepati, Lalitpur",12-18 Feet,4,4,5.0 Anna,Rs. 5.9 Cr,2070 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,4.0 Anna,Rs. 3.65 Cr,2080 B.S
"Nayabazar, Kathmandu",12-18 Feet,8,3,3.0 Anna,Rs. 2.75 Cr,2076 B.S
"Chardhara, Kathmandu",12-18 Feet,6,3,3.3 Anna,Rs. 1.6 Cr,2076 B.S
"Nagaun, Kathmandu",12-18 Feet,7,4,4.0 Anna,Rs. 2.5 Cr,2076 B.S
"Nagarjun, Kathmandu",30 Feet,7,6,4.0 Anna,Rs. 3.87 Cr,2077 B.S
"Tokha, Kathmandu",12 Feet,5,3,5.2 Anna,Rs. 4.5 Cr,2077 B.S
"Mulpani, Kathmandu",12-18 Feet,5,3,3.0 Anna,Rs. 2.45 Cr,2074 B.S
"Hattigaunda, Kathmandu",13 Feet,4,3,4.0 Anna,Rs. 3 Cr,2080 B.S
"Kalopul, Kathmandu",15 Feet,2,2,3.8 Anna,Rs. 2.2 Cr,2076 B.S
"Sitapaila, Kathmandu",20 Feet,6,4,3.3 Anna,Rs. 2.65 Cr,2076 B.S
"Kapan, Kathmandu",12 Feet,2,1,3.0 Anna,Rs. 1.65 Cr,2073 B.S
"Bhaisepati, Lalitpur",20 Feet,7,7,5.0 Anna,Rs. 3.6 Cr,2072 B.S
"Budhanilkantha, Kathmandu",18 Feet,5,3,3.0 Anna,Rs. 2.3 Cr,2073 B.S
"Chunikhel, Kathmandu",12 Feet,4,4,3.0 Anna,Rs. 1.6 Cr,2073 B.S
"Naikap, Kathmandu",13 Feet,7,6,8.2 Anna,Rs. 4.75 Cr,2080 B.S
"Thulo bharyang, Kathmandu",12 Feet,5,4,4.0 Anna,Rs. 2.9 Cr,2074 B.S
"Tandi, Chitwan",8 Feet,6,4,1.3 kattha,Rs. 2.35 Cr,2073 B.S
"Khusibu, Kathmandu",15 Feet,5,3,3.1 Anna,Rs. 3.4 Cr,2073 B.S
"Narayantar, Kathmandu",13 Feet,5,3,3 Anna,Rs. 2.45 Cr,2074 B.S
"Budhanilkantha, Kathmandu",14 Feet,6,5,15.0 Anna,Rs. 10 Cr,2076 B.S
"Bafal, Kathmandu",13 Feet,7,4,4.0 Anna,Rs. 3.75 Cr,2074 B.S
"Khumaltar, Lalitpur",20 Feet,6,4,4.2 Anna,Rs. 4.25 Cr,2073 B.S
"Imadol, Lalitpur",12 Feet,5,3,2.3 Anna,Rs. 2.15 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,5,5,4.0 Anna,Rs. 3.75 Cr,2076 B.S
"Gwarko, Lalitpur",13 Feet,7,5,4.0 Anna,Rs. 4.75 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,4,4,2.3 Anna,Rs. 2.35 Cr,2073 B.S
"Koteshwor, Kathmandu",25 Feet,7,4,4.2 Anna,Rs. 4.7 Cr,2079 B.S
"Bafal, Kathmandu",20 Feet,6,4,8.0 Anna,Rs. 9 Cr,2072 B.S
"Nepaltar, Kathmandu",13 Feet,8,4,3.2 Anna,Rs. 2.24 Cr,2074 B.S
"Ramkot, Kathmandu",30 Feet,30,11,7.2 Anna,Rs. 8.5 Cr,2076 B.S
"Kapan, Kathmandu",13 Feet,7,5,3.3 Anna,Rs. 2.65 Cr,2073 B.S
"Dhapasi, Kathmandu",15 Feet,6,4,4.0 Anna,Rs. 3.99 Cr,2070 B.S
"Kuleshwor, Kathmandu",18 Feet,6,4,3.0 Anna,Rs. 3.35 Cr,2063 B.S
"Sano thimi, Bhaktapur",18 Feet,6,5,4.0 Anna,Rs. 4.9 Cr,2071 B.S
"Makalbari, Kathmandu",12 Feet,5,3,6.1 Anna,Rs. 3.7 Cr,2065 B.S
"Balkumari, Lalitpur",16 Feet,4,4,4.2 Anna,Rs. 1.1 Lac,2066 B.S
"Imadol, Lalitpur",20 Feet,5,3,3.0 Anna,Rs. 2.75 Cr,2072 B.S
"Bhaisepati, Lalitpur",20 Feet,4,5,6.0 Anna,Rs. 6.4 Cr,2058 B.S
"Durbar Marga, Kathmandu",14 Feet,12,4,7.0 Anna,Rs. 4 Cr,2068 B.S
"Taulung, Kathmandu",14 Feet,2,2,5.0 Anna,Rs. 4 Cr,2074 B.S
"Phutung, Kathmandu",20 Feet,4,4,4.0 Anna,Rs. 2.99 Cr,2072 B.S
"Bouddha, Kathmandu",20 Feet,7,4,6.2 Anna,Rs. 4.5 Cr,2072 B.S
"Budhanilkantha, Kathmandu",13 Feet,7,5,4.0 Anna,Rs. 3.85 Cr,2070 B.S
"Narayantar, Kathmandu",16 Feet,7,4,3.2 Anna,Rs. 3.75 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,4,4,3.0 Anna,Rs. 2.5 Cr,2070 B.S
"Nepaltar, Kathmandu",9 Feet,11,5,3.0 Anna,Rs. 1.96 Cr,2076 B.S
"Jarankhu, Kathmandu",22 Feet,5,5,5.0 Anna,Rs. 2.84 Cr,2074 B.S
"Nepaltar, Kathmandu",9 Feet,9,6,3.0 Anna,Rs. 1.62 Cr,2065 B.S
"Maitrinagar, Kathmandu",13 Feet,10,6,6.0 Anna,Rs. 5.5 Cr,2072 B.S
"Thimi, Bhaktapur",20 Feet,8,6,5.0 Anna,Rs. 5 Cr,2071 B.S
"Imadol, Lalitpur",15-26 Feet,6,4,3.2 Anna,Rs. 3.3 Cr,2070 B.S
"Bhangal , Kathmandu",12 Feet,4,4,4.0 Anna,Rs. 2.75 Cr,2070 B.S
"Kharibot, Kathmandu",16 Feet,7,6,5.0 Anna,Rs. 4.25 Cr,2072 B.S
"Dharmasthali, Kathmandu",20 Feet,4,2,4.0 Anna,Rs. 2.1 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,4,4,2.3 Anna,Rs. 2.3 Cr,2076 B.S
"Hattiban, Lalitpur",13 Feet,4,4,3.1 Anna,Rs. 2.65 Cr,2064 B.S
"Bhaisepati, Lalitpur",13 Feet,4,5,6.0 Anna,Rs. 7 Cr,2070 B.S
Nuwakot,20 Feet,4,4,3.0 Anna,Rs. 2 Cr,2076 B.S
"Kapan, Kathmandu",15 Feet,2,1,4.0 Anna,Rs. 2.4 Cr,2074 B.S
"Imadole, Lalitpur",13 Feet,8,6,5.0 Anna,Rs. 4.1 Cr,2070 B.S
"Thapathali, Kathmandu",12 Feet,6,3,6.2 Anna,Rs. 4.45 Cr,2065 B.S
"Kharibot, Kathmandu",13 Feet,6,3,10.3 Anna,Rs. 4.5 Cr,2070 B.S
"Mmaiju, Kathmandu",22 Feet,6,7,3.0 Anna,Rs. 2.75 Cr,2069 B.S
"Imadol, Lalitpur",20 Feet,4,4,3.2 Anna,Rs. 4.5 Cr,2070 B.S
"Budhanilkantha, Kathmandu",20 Feet,5,6,8.0 Anna,Rs. 6.8 Cr,2065 B.S
"Bidhygar, Banke",10 Feet,2,1,0.15 kattha,Rs. 60 Lac,2059 B.S
"Jyotinagar, Kathmandu",13 Feet,4,3,5.1 Anna,Rs. 4.65 Cr,2069 B.S
"Hattigaunda, Kathmandu",13 Feet,5,5,4.2 Anna,Rs. 3.45 Cr,2079 B.S
"Hemja, Kaski",13 Feet,6,3,7.0 Anna,Rs. 2.1 Cr,2076 B.S
"Basundhara, Kathmandu",16 Feet,6,5,4.2 Anna,Rs. 4.2 Cr,2055 B.S
"Imadol, Lalitpur",14 Feet,4,4,3.2 Anna,Rs. 4.3 Cr,2070 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.0 Anna,Rs. 2.55 Cr,2070 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.0 Anna,Rs. 2.75 Cr,2072 B.S
"Harisiddhi, Lalitpur",20 Feet,4,4,3.0 Anna,Rs. 2.7 Cr,2072 B.S
